Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
"Technical University College Ghana
Technical University College of Tamale",,Tamale,University College,H +/-,Ghana
"Thrivus University for Biomedical Science and Technology
Thrivus Institute for Biomedical Science and Technology (bis Dezember 2024)",,Lashibi,Private University,H+,Ghana
Trinity Theological Seminary,,Legon,Private University,H+,Ghana
Tumu College of Education,,Tumu,Public / Private College of Education,H +/-,Ghana
University College of Agriculture and Environmental Studies,,Koforidua,University College,H +/-,Ghana
University College of Management Studies,,Accra,University College,H +/-,Ghana
University for Development Studies,,Tamale,Public University / Traditional University,H+,Ghana
"University of Cape Coast
University College of Cape Coast",,Cape Coast,Public University / Traditional University,H+,Ghana
"University of Education, Winneba
University College of Education of Winneba",,Winneba,Public University / Traditional University,H+,Ghana
University of Energy and Natural Resources,,Sunyani,Public University / Traditional University,H+,Ghana
University of Environment and Sustainable Development,,Somanya,Public University / Traditional University,H+,Ghana
"University of Ghana
University College of the Gold Coast
University College of Ghana",,Legon,Public University / Traditional University,H+,Ghana
"University of Gold Coast
University College of Cape Coast (bis Dezember 2024)Accra Business School",,Spintex,Private University,H+,Ghana
University of Health and Allied Sciences,,Ho,Public University / Traditional University,H+,Ghana
"University of Media, Arts and Communication
Ghana Insitute of Journalism
National Film and Television Institute
Ghana Institute of Languages",,Accra,Public University / Traditional University,H+,Ghana
"University of Mines and Technology
Institute of Mining and Mineral Engineering
KNUST School of Mines
Western University College
Tarkwa School of Mines",,Tarkwa,Public University / Traditional University,H+,Ghana
"University of Professional Studies
Institute of Professional Studies",,Accra,Public University / Traditional University,H+,Ghana
Valley View University,,Accra,Private University,H+,Ghana
"Wa Technical University
Wa Polytechnic",,Wa,Technical University,H +/-,Ghana
Wesley College of Education,,Kumasi,Sonstige Hochschule,H +/-,Ghana
Wesley College of Education,,Kumasi,Public / Private College of Education,H +/-,Ghana
"Western University College
Knust School of Mines
Institute of Mining and Mineral Engineering",,Tarkwa,Sonstige Hochschule,H +/-,Ghana
Wiawso College of Education,,Wiawso,Public / Private College of Education,H +/-,Ghana
Wisconsin International University College,,Legon,University College,H +/-,Ghana
Zenith University College,,Accra,University College,H +/-,Ghana
