Institution,Deutsche Übersetzung,Ort,Institutionstyp,Status,Land
"All India Institute of Medical Sciences, New Delhi",,New Delhi (Delhi),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Patna",,Patna (Bihar),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Raebareli",,Raebareli (Uttar Pradesh),Institution of National Importance,H+,Indien
"All India Institute of Medical Sciences, Rishikesh",,Rishikesh (Uttarakhand),Institution of National Importance,H+,Indien
All India Institute of Public & Physical Health Sciences,,Alipur (Delhi),Nicht anerkannte Hochschule,H -,Indien
Alliance University,,Bangalore (Karnataka),Private University,H+,Indien
Amity University Chhattisgarh,,Raipur (Chhattisgarh),Status ungeklärt,H +/-,Indien
Amity University Gurugram,,Gurugram (Haryana),Private University,H+,Indien
Amity University Gwalior,,Gwalior (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Amity University JaipurAmity University Rajasthan,,Jaipur (Rajasthan),Private University,H+,Indien
Amity University Jharkhand,,Ranchi (Jharkhand),Status ungeklärt,H +/-,Indien
Amity University Kolkata,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
Amity University Maharashtra,,Mumbai (Maharashtra),Status ungeklärt,H +/-,Indien
Amity University NoidaAmity University Uttar Pradesh,,Noida (Uttar Pradesh),Private University,H+,Indien
Amity University Patna,,Patna (Bihar),Status ungeklärt,H +/-,Indien
Amity University Punjab,,Mohali (Punjab),Status ungeklärt,H +/-,Indien
Amrita Vishwa Vidyapeetham,,Coimbatore (Tamil Nadu),Deemed to be University,H+,Indien
Anand Agricultural UniversityGujarat Agricultural University,,Anand (Gujarat),State University,H+,Indien
Anant National University,,Ahmedabad (Gujarat),Private University,H+,Indien
Andhra Kesari University,,Ongole (Andhra Pradesh),State University,H+,Indien
Andhra Pradesh Fisheries University,,Vijayawada (Andhra Pradesh),State University,H+,Indien
Andhra University,,Visakhapatnam (Andhra Pradesh),State University,H+,Indien
"Anna UniversityAnna University of Technology, ChennaiAnna University of Technology, TiruchirapalliAnna University of Technology, CoimbatoreAnna University of Technology, TirunelveliAnna University of Technology, MaduraiAnna University Tiruchirapalli",,Chennai (Tamil Nadu),State University,H+,Indien
Annamalai University,,Annamalainagar (Tamil Nadu),Status ungeklärt,H +/-,Indien
Anurag University,,Hyderabad (Telangana),Private University,H+,Indien
Apeejay Stya University,,Gurugram (Haryana),Private University,H+,Indien
Apex Professional University,,East Siang (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
Apex University,,Jaipur (Rajasthan),Status ungeklärt,H +/-,Indien
APJ Abdul Kalam Technological UniversityA.P.J. Abdul Kalam Technological UniversityKerala Technological University,,Thiruvananthapuram (Kerala),State University,H+,Indien
ARKA Jain University,,Gamharia (Jharkhand),Status ungeklärt,H +/-,Indien
Arni University,,Kangra (Himachal Pradesh),Status ungeklärt,H +/-,Indien
Arunachal Pradesh University,,Pasighat (Arunachal Pradesh),State University,H+,Indien
Arunachal University of Studies,,Namsai (Arunachal Pradesh),Private University,H+,Indien
Arunodaya University,,Itanagar (Arunachal Pradesh),Status ungeklärt,H +/-,Indien
Aryabhatta Knowledge University,,Patna (Bihar),State University,H+,Indien
ASBM University,,Bhubaneswar (Odisha),Status ungeklärt,H +/-,Indien
Ashoka University,,Sonepat (Haryana),Private University,H+,Indien
Asian International University,,Imphal (Manipur),Status ungeklärt,H +/-,Indien
Assam Agricultural University,,Jorhat (Assam),State University,H+,Indien
Assam Don Bosco University,,Guwahati (Assam),Private University,H+,Indien
Assam Down Town University,,Guwahati (Assam),Private University,H+,Indien
Assam Rajiv Gandhi University of Co-operative Management,,Sivasagar (Assam),State University,H+,Indien
Assam Science & Technology University,,Guwahati (Assam),State University,H+,Indien
Assam University,,Silchar (Assam),Central University,H+,Indien
Assam Women's University,,Jorhat (Assam),State University,H+,Indien
Atal Bihari Vajpayee Hindi Vishwavidyalaya,,Bhopal (Madhya Pradesh),State University,H+,Indien
Atal Bihari Vajpayee Medical University,,Lucknow (Uttar Pradesh),State University,H+,Indien
Atal Bihari Vajpayee Vishwavidyalaya,,Bilaspur (Chhattisgarh),State University,H+,Indien
Atal Medical and Research University,,Mandi (Himachal Pradesh),State University,H+,Indien
Atlas Skilltech University,,Mumbai (Maharashtra),Status ungeklärt,H +/-,Indien
Atmiya University,,Rajkot (Gujarat),Private University,H+,Indien
Atria University,,Bengaluru (Karnataka),Status ungeklärt,H +/-,Indien
AURO University,,Surat (Gujarat),Private University,H+,Indien
Avantika University,,Ujjain (Madhya Pradesh),Private University,H+,Indien
Avinashilingam Institute for Home Science and Higher Education for WomenAvinashilingam Deemed University for WomenAvinashilingam University,,Coimbatore (Tamil Nadu),Deemed to be University,H+,Indien
Awadhesh Pratap Singh University,,Rewa (Madhya Pradesh),State University,H+,Indien
Azim Premji University,,Bangalore (Karnataka),Private University,H+,Indien
B.S. Abdur Rahman Crescent Institute of Science & TechnologyB.S. Abdur Rahman University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Baba Farid University of Health Sciences,,Faridkot (Punjab),State University,H+,Indien
Baba Ghulam Shah Badshah University,,Rajouri (Jammu & Kashmir),State University,H+,Indien
Baba Mastnath University,,Rohtak (Haryana),Private University,H+,Indien
Babasaheb Bhimrao Ambedkar Bihar University,,Muzaffarpur (Bihar),State University,H+,Indien
Babasaheb Bhimrao Ambedkar University,,Lucknow (Uttar Pradesh),Central University,H+,Indien
Babu Banarasi Das University,,Lucknow (Uttar Pradesh),Private University,H+,Indien
Badaganvi Sarkar World Open University Education Society,,Belgaum (Karnataka),Nicht anerkannte Hochschule,H -,Indien
Baddi University of Emerging Sciences & Technology,,Baddi (Himachal Pradesh),Private University,H+,Indien
Bagalkot University,,Bagalkot (Karnataka),State University,H+,Indien
Bahra University,,Solan (Himachal Pradesh),Status ungeklärt,H +/-,Indien
Banaras Hindu University,,Varanasi (Uttar Pradesh),Central University,H+,Indien
Banasthali VidyapithBanasthali University,,Tonk (Rajasthan),Deemed to be University,H+,Indien
Banda University of Agriculture and Technology,,Banda (Uttar Pradesh),State University,H+,Indien
Bangalore University,,Bangalore (Karnataka),State University,H+,Indien
Bankura University,,Bankura (West Bengal),State University,H+,Indien
Bareilly International University,,Bareilly (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Barkatullah VishwavidyalayaBhopal University,,Bhopal (Madhya Pradesh),State University,H+,Indien
Bengaluru City UniversityBengaluru Central University,,Bangalore (Karnataka),State University,H+,Indien
Bengaluru Dr. B. R. Ambedkar School of Economics,,Bengaluru (Karnataka),State University,H+,Indien
Bengaluru North University,,Kolar (Karnataka),State University,H+,Indien
Bennett University,,Greater Noida (Uttar Pradesh),Private University,H+,Indien
Berhampur University,,Berhampur (Odisha),State University,H+,Indien
Bhabha University,,Bhopal (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Bhagat Phool Singh Mahila Vishwavidyalaya,,Khanpur Kalan (Haryana),State University,H+,Indien
Bhagwan Mahavir University,,Surat (Gujarat),Status ungeklärt,H +/-,Indien
Bhagwant Global University,,Kotdwar (Uttarakhand),Status ungeklärt,H +/-,Indien
Bhagwant University,,Ajmer (Rajasthan),Nicht anerkannte Hochschule,H -,Indien
Bhaikaka University,,Karamsad (Gujarat),Status ungeklärt,H +/-,Indien
Bhakta Kavi Narsinh Mehta University,,Junagadh (Gujarat),State University,H+,Indien
Bharath Institute of Higher Education and ResearchBharath University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Bharathiar University,,Coimbatore (Tamil Nadu),State University,H+,Indien
Bharathidasan University,,Tiruchirappalli (Tamil Nadu),State University,H+,Indien
Bharati Vidyapeeth,,Pune (Maharashtra),Deemed to be University,H+,Indien
Bharatiya Engineering Science and Technology Innovation University,,Anantapur (Andhra Pradesh),Status ungeklärt,H +/-,Indien
Bharti VishwavidyalayaBharti University,,Durg (Chhattisgarh),Status ungeklärt,H +/-,Indien
Bhartiya Shiksha Parishad,,Lucknow (Uttar Pradesh),Nicht anerkannte Hochschule,H -,Indien
Bhartiya Skill Development University,,Jaipur (Rajasthan),Status ungeklärt,H +/-,Indien
Bhatkhande Sansriti VishwavidyalayaBhatkhande Music Institute,,Lucknow (Uttar Pradesh),State University,H+,Indien
Bhattadev University,,Pathsala (Assam),State University,H+,Indien
Bhupal Nobles University,,Udaipur (Rajasthan),Private University,H+,Indien
Bhupendra Narayan Mandal University,,Madhepura (Bihar),State University,H+,Indien
Bidar University,,Bidar (Karnataka),State University,H+,Indien
Bidhan Chandra Krishi Vishwavidyalaya,,Mohanpur (West Bengal),State University,H+,Indien
Bihar Agricultural University,,Bhagalpur (Bihar),State University,H+,Indien
Bihar Animal Sciences University,,Patna (Bihar),State University,H+,Indien
Bihar Engineering University,,Patna (Bihar),State University,H+,Indien
Bihar University of Health Sciences,,Patna (Bihar),State University,H+,Indien
Biju Patnaik University of Technology,,Rourkela (Odisha),State University,H+,Indien
Bikaner Technical University,,Bikaner (Rajasthan),State University,H+,Indien
Binod Bihari Mahto Koyalanchal University,,Dhanbad (Jharkhand),State University,H+,Indien
Bioinformatics Institute of India,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
Bir Tikendrajit University,,Imphal (Manipur),Status ungeklärt,H +/-,Indien
Birangana Sati Sadhani Rajyik Vishwavidyalaya,,Golaghat (Assam),State University,H+,Indien
Birla Global University,,Bhubaneswar (Odisha),Private University,H+,Indien
Birla Institute of Technology,,Ranchi (Jharkhand),Deemed to be University,H+,Indien
Birla Institute of Technology and Science,,Pilani (Rajasthan),Deemed to be University,H+,Indien
Birsa Agricultural University,,Ranchi (Jharkhand),State University,H+,Indien
Birsa Munda Tribal University,,Narmada (Gujarat),State University,H+,Indien
Biswa Bangla Biswabidyalay,,Bolpur (West Bengal),State University,H+,Indien
BLDEB.L.D.E.,,Bijapur (Karnataka),Deemed to be University,H+,Indien
BML Munjal University,,Gurugram (Haryana),Private University,H+,Indien
Bodoland University,,Kokrajhar (Assam),State University,H+,Indien
Brainware University,,Kolkata (West Bengal),Status ungeklärt,H +/-,Indien
Bundelkhand University,,Jhansi (Uttar Pradesh),State University,H+,Indien
C. U. Shah University,,Surendranagar (Gujarat),Status ungeklärt,H +/-,Indien
C.V. Raman Global University,,Bhubaneswar (Odisha),Status ungeklärt,H +/-,Indien
Capital University,,Koderma (Jharkhand),Status ungeklärt,H +/-,Indien
Career Point University,,Hamirpur (Himachal Pradesh),Private University,H+,Indien
Career Point University,,Kota (Rajasthan),Private University,H+,Indien
Central Agricultural University,,Imphal (Manipur),Central University,H+,Indien
Central Institute of Buddhist Studies,,Leh (Ladakh),Deemed to be University,H+,Indien
Central Institute of Fisheries Education,,Mumbai (Maharashtra),Deemed to be University,H+,Indien
Central Institute of Higher Tibetan Studies,,Varanasi (Uttar Pradesh),Deemed to be University,H+,Indien
Central Institute of Technology,,Kokrajhar (Assam),Deemed to be University,H+,Indien
Central Sanskrit UniversityRashtriya Sanskrit Sansthan,,New Delhi (Delhi),Central University,H+,Indien
Central Tribal University of Andhra Pradesh,,Anantapur (Andhra Pradesh),Central University,H+,Indien
Central University of Andhra Pradesh,,Anantapur (Andhra Pradesh),Central University,H+,Indien
Central University of Gujarat,,Gandhinagar (Gujarat),Central University,H+,Indien
Central University of Haryana,,Mahendergarh (Haryana),Central University,H+,Indien
Central University of Himachal Pradesh,,Kangra (Himachal Pradesh),Central University,H+,Indien
Central University of Jammu,,Jammu (Jammu & Kashmir),Central University,H+,Indien
Central University of Jharkhand,,Ranchi (Jharkhand),Central University,H+,Indien
Central University of Karnataka,,Gulbarga (Karnataka),Central University,H+,Indien
Central University of Kashmir,,Ganderbal (Jammu & Kashmir),Central University,H+,Indien
Central University of Kerala,,Kasaragod (Kerala),Central University,H+,Indien
Central University of Odisha,,Koraput (Odisha),Central University,H+,Indien
Central University of Punjab,,Bathinda (Punjab),Central University,H+,Indien
Central University of Rajasthan,,Ajmer (Rajasthan),Central University,H+,Indien
Central University of South Bihar,,Gaya (Bihar),Central University,H+,Indien
Central University of Tamil Nadu,,Tiruvarur (Tamil Nadu),Central University,H+,Indien
Centurion University of Technology and Management,,Paralakhemundi (Odisha),Private University,H+,Indien
Centurion University of Technology and Management,,Vizianagram (Andhra Pradesh),Private University,H+,Indien
CEPT UniversityCentre for Environmental Planning and Technology,,Ahmedabad (Gujarat),Status ungeklärt,H +/-,Indien
Chaitanya,,Hanamkonda (Telangana),Deemed to be University,H+,Indien
Chamarajanagara University,,Chamarajanagar (Karnataka),State University,H+,Indien
Chanakya National Law University,,Patna (Bihar),State University,H+,Indien
Chanakya University,,Bengaluru (Karnataka),Status ungeklärt,H +/-,Indien
Chandigarh University,,Mohali (Punjab),Private University,H+,Indien
Chandra Shekhar Azad University of Agriculture and Technology,,Kanpur (Uttar Pradesh),State University,H+,Indien
Charotar University of Science and Technology,,Anand (Gujarat),Private University,H+,Indien
Chaudhary Bansi Lal University,,Bhiwani (Haryana),State University,H+,Indien
Chaudhary Charan Singh Haryana Agricultural University,,Hisar (Haryana),State University,H+,Indien
Chaudhary Charan Singh UniversityChoudhary Charan Singh UniversityMeerut University,,Meerut (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Chaudhary Devi Lal University,,Sirsa (Haryana),State University,H+,Indien
Chaudhary Ranbir Singh UniversityKurukshetra University Post Graduate Regional Center,,Jind (Haryana),State University,H+,Indien
Chennai Mathematical Institute,,Siruseri (Tamil Nadu),Deemed to be University,H+,Indien
Chettinad Academy of Research and EducationChettinad Health City,,Kelambakkam (Tamil Nadu),Deemed to be University,H+,Indien
Chhatrapati Shahu Ji Maharaj UniversityKanpur UniversityShri Shahu Ji Maharaj University Kanpur,,Kanpur (Uttar Pradesh),State University,H+,Indien
Chhatrapati Shivaji Maharaj University,,Mumbai (Maharashtra),Status ungeklärt,H +/-,Indien
Chhattisgarh Kamdhenu Vishwavidyalaya,,Raipur (Chhattisgarh),State University,H+,Indien
Chhattisgarh Swami Vivekanand Technical University,,Bhilai (Chhattisgarh),State University,H+,Indien
Childeren's University,,Gandhinagar (Gujarat),State University,H+,Indien
Chinmaya Vishwavidyapeeth,,Kochi (Kerala),Deemed to be University,H+,Indien
"Chitkara University, Himachal Pradesh",,Barotiwala (Himachal Pradesh),Private University,H+,Indien
"Chitkara University, Punjab",,Chandigarh (Punjab),Private University,H+,Indien
Christ (Deemed to be University)Christ University,,Bangalore (Karnataka),Deemed to be University,H+,Indien
Christ New Testament Deemed University,,Guntur (Andhra Pradesh),Nicht anerkannte Hochschule,H -,Indien
Cluster University,,Kurnool (Andhra Pradesh),State University,H+,Indien
Cluster University of Jammu,,Jammu (Jammu & Kashmir),State University,H+,Indien
Cluster University Srinagar,,Srinagar (Jammu & Kashmir),State University,H+,Indien
CMJ University,,Shillong (Meghalaya),Status ungeklärt,H +/-,Indien
CMR University,,Bangalore (Karnataka),Private University,H+,Indien
Cochin University of Science & Technology,,Kochi (Kerala),State University,H+,Indien
COEP Technological University,,Pune (Maharashtra),State University,H+,Indien
COER UniversityUniversity of Engineering and Technology Roorkee,,Roorkee (Uttarakhand),Status ungeklärt,H +/-,Indien
Commercial University Ltd.,,New Delhi (Delhi),Nicht anerkannte Hochschule,H -,Indien
Cooch Behar Panchanan Barma University,,Cooch Behar (West Bengal),State University,H+,Indien
Cotton UniversityCotton College State University,,Guwahati (Assam),State University,H+,Indien
CSK Himachal Pradesh Agriculture UniversityChaudhary Sarwan Kumar Himachal Pradesh Krishi Vishvavidyalaya,,Palampur (Himachal Pradesh),State University,H+,Indien
CT University,,Ludhiana (Punjab),Private University,H+,Indien
CVM UniversityCharutar Vidya Mandal University,,Vallabh Vidyanagar (Gujarat),Status ungeklärt,H +/-,Indien
D. Y. Patil Agriculture and Technical University,,Kolhapur (Maharashtra),Status ungeklärt,H +/-,Indien
D. Y. Patil Educational Society,,Kolhapur (Maharashtra),Deemed to be University,H+,Indien
D. Y. Patil International University,,Pune (Maharashtra),Private University,H+,Indien
D. Y. Patil University,,Pune (Maharashtra),Status ungeklärt,H +/-,Indien
D.D.B. Sanskrit University,,Trichi (Tamil Nadu),Nicht anerkannte Hochschule,H -,Indien
Dakshin Dinajpur University,,Dakshin Dinajpur (West Bengal),State University,H+,Indien
Dakshina Bharat Hindi Prachar Sabha,,Chennai (Tamil Nadu),Institution of National Importance,H+,Indien
Damodaram Sanjivayya National Law University,,Visakhapatnam (Andhra Pradesh),State University,H+,Indien
Darshan University,,Rajkot (Gujarat),Status ungeklärt,H +/-,Indien
Datta Meghe Institute of Higher Education and ResearchDatta Meghe Institute of Medical Sciences,,Wardha (Maharashtra),Deemed to be University,H+,Indien
DAV UniversityD.A.V. University,,Jalandhar (Punjab),Private University,H+,Indien
Davangere University,,Davangere (Karnataka),State University,H+,Indien
Dayalbagh Educational Institute,,Agra (Uttar Pradesh),Deemed to be University,H+,Indien
Dayananda Sagar University,,Bangalore (Karnataka),Private University,H+,Indien
Deccan College Post Graduate and Research Institute,,Pune (Maharashtra),Deemed to be University,H+,Indien
Deen Dayal Upadhyaya Gorakhpur UniversityD.D.U. Gorakhpur University,,Gorakhpur (Uttar Pradesh),State University,H+,Indien
Deenbandhu Chhotu Ram University of Science and Technology,,Murthal (Haryana),State University,H+,Indien
Defence Institute Of Advanced Technology,,Pune (Maharashtra),Deemed to be University,H+,Indien
Delhi International Arbitration Centre,,New Delhi (Delhi),Institution of National Importance,H+,Indien
Delhi Pharmaceutical Sciences & Research University,,New Delhi (Delhi),State University,H+,Indien
Delhi Skill and Entrepreneurship University,,Dwarka (Delhi),State University,H+,Indien
Delhi Sports University,,Shamnath Marg (Delhi),State University,H+,Indien
Delhi Teachers University,,New Delhi (Delhi),State University,H+,Indien
Delhi Technological UniversityDelhi College of Engineering,,New Delhi (Delhi),State University,H+,Indien
Desh Bhagat University,,Mandi Gobindgarh (Punjab),Private University,H+,Indien
Dev Bhoomi Uttarakhand University,,Dehradun (Uttarakhand),Status ungeklärt,H +/-,Indien
Dev Sanskriti Vishwavidyalaya,,Haridwar (Uttarakhand),Private University,H+,Indien
Dev Sanskriti Vishwavidyalaya,,Durg (Chhattisgarh),Status ungeklärt,H +/-,Indien
Devi Ahilya Vishwavidyalaya,,Indore (Madhya Pradesh),State University,H+,Indien
Dhanalakshmi Srinivasan University,,Tiruchirappalli (Tamil Nadu),Status ungeklärt,H +/-,Indien
Dhanamanjuri University,,Imphal (Manipur),State University,H+,Indien
"Dharmaram Vidya KshetramPontifical Athenaeum of Philosophy, Theology and Canon Law",,Bangalore (Karnataka),Katholische Hochschule Kanonischen Rechts,H+,Indien
Dharmashastra National Law University,,Jabalpur (Madhya Pradesh),State University,H+,Indien
Dharmsinh Desai UniversityDharmsinh Desai Institute of Technology (D.D. Institute of Technology),,Nadiad (Gujarat),State University,H+,Indien
Dhirubhai Ambani Institute of Information & Communication Technology,,Gandhinagar (Gujarat),Private University,H+,Indien
Diamond Harbour Women's University,,Diamond Harbour (West Bengal),State University,H+,Indien
Dibrugarh University,,Dibrugarh (Assam),State University,H+,Indien
"Digital University KeralaKerala University of Digital Sciences, Innovation and TechnologyIIITM-K",,Thiruvananthapuram (Kerala),State University,H+,Indien
Digital University of Skill Resurgence,,Wardha (Maharashtra),Nicht anerkannte Hochschule,H -,Indien
DIT University,,Dehradun (Uttarakhand),Private University,H+,Indien
Doon University,,Dehradun (Uttarakhand),State University,H+,Indien
Dr Bhimrao Ambedkar Law University,,Jaipur (Rajasthan),State University,H+,Indien
Dr. A.P.J. Abdul Kalam Technical UniversityGautam Buddh Technical UniversityUttar Pradesh Technical UniversityMahamaya Technical University,,Lucknow (Uttar Pradesh),State University,H+,Indien
Dr. A.P.J. Abdul Kalam University,,Indore (Madhya Pradesh),Private University,H+,Indien
Dr. Abdul Haq Urdu University,,Kurnool (Andhra Pradesh),State University,H+,Indien
Dr. B. R. Ambedkar National Institute of Technology,,Jalandhar (Punjab),Institution of National Importance,H+,Indien
Dr. B. R. Ambedkar UniversityBharat Ratna Dr. B. R. Ambedkar University,,New Delhi (Delhi),State University,H+,Indien
"Dr. B.R. Ambedkar National Law University, Sonepat",,Sonepat (Haryana),State University,H+,Indien
Dr. B.R. Ambedkar Open UniversityAndhra Pradesh Open University,,Hyderabad (Telangana),State University,H+,Indien
Dr. B.R. Ambedkar University,,Srikakulam (Andhra Pradesh),State University,H+,Indien
Dr. B.R. Ambedkar University of Social Sciences,,Indore (Madhya Pradesh),State University,H+,Indien
Dr. Babasaheb Ambedkar Marathwada University,,Aurangabad (Maharashtra),State University,H+,Indien
Dr. Babasaheb Ambedkar Open University,,Ahmedabad (Gujarat),State University,H+,Indien
Dr. Babasaheb Ambedkar Technological University,,Lonere (Maharashtra),State University,H+,Indien
Dr. Balasaheb Sawant Konkan Krishi VidyapeethDr. Balasaheb Sawant Konkan Agricultural UniversityKonkan Krishi Vidyapeeth,,Dapoli (Maharashtra),State University,H+,Indien
"Dr. Bhimrao Ambedkar University, AgraDr. B.R. Ambedkar UniversityAgra University",,Agra (Uttar Pradesh),State University,H+,Indien
Dr. C. V. Raman University,,Bilaspur (Chhattisgarh),Status ungeklärt,H +/-,Indien
Dr. C.V. Raman University,,Vaishali (Bihar),Status ungeklärt,H +/-,Indien
"Dr. C.V. Raman University, Khandwa",,Khandwa (Madhya Pradesh),Status ungeklärt,H +/-,Indien
Dr. D. Y. Patil Vidyapeeth,,Pune (Maharashtra),Deemed to be University,H+,Indien
Dr. Harisingh Gour VishwavidyalayaDoctor Harisingh Gour VishwavidyalayaUniversity of SagarUniversity of Saugor,,Sagar (Madhya Pradesh),Central University,H+,Indien
Dr. Homi Bhabha State University,,Mumbai (Maharashtra),State University,H+,Indien
Dr. K.N. Modi University,,Tonk (Rajasthan),Private University,H+,Indien
Dr. M.G.R. Educational and Research InstituteDr. M.G.R. University,,Chennai (Tamil Nadu),Deemed to be University,H+,Indien
Dr. N.T.R. University of Health SciencesDr. NTR University of Health SciencesAndhra Pradesh University of Health SciencesDr. YSR University of Health Sciences,,Vijayawada (Andhra Pradesh),State University,H+,Indien
Dr. Panjabrao Deshmukh Krishi Vidyapeeth,,Akola (Maharashtra),State University,H+,Indien
Dr. Rajendra Prasad Central Agricultural University,,Samastipur (Bihar),Institution of National Importance,H+,Indien
Dr. Ram Manohar Lohia Institute of Medical Sciences,,Lucknow (Uttar Pradesh),State University,H+,Indien
Dr. Ram Manohar Lohiya National Law University,,Lucknow (Uttar Pradesh),State University,H+,Indien
Dr. Rammanohar Lohia Avadh University Ayodhya,,Faizabad (Uttar Pradesh),State University,H+,Indien
Dr. Sarvepalli Radhakrishnan Rajasthan Ayurved UniversityRajasthan Ayurveda University,,Jodhpur (Rajasthan),State University,H+,Indien
Dr. Shakuntala Misra National Rehabilitation UniversityUttar Pradesh Viklang Uddhar Dr. Shakuntala Misra Vishwavidyalaya,,Lucknow (Uttar Pradesh),State University,H+,Indien
Dr. Shyama Prasad Mukherjee International Institute of Information Technology,,Naya Raipur (Chhattisgarh),State University,H+,Indien
Dr. Shyama Prasad Mukherjee University,,Ranchi (Jharkhand),State University,H+,Indien
Dr. Vishwanath Karad MIT World Peace UniversityMIT World Peace University,,Pune (Maharashtra),Private University,H+,Indien
Dr. Y.S.R. Horticultural University,,Venkataramannagudem (Andhra Pradesh),State University,H+,Indien
Dr. Yashwant Singh Parmar University of Horticulture and Forestry,,Nauni (Himachal Pradesh),State University,H+,Indien
Dr. YSR Architecture and Fine Arts University,,Kadapa (Andhra Pradesh),State University,H+,Indien
Dravidian University,,Kuppam (Andhra Pradesh),State University,H+,Indien
Drs. Kiran & Pallavi Patel Global University,,Vadodara (Gujarat),Status ungeklärt,H +/-,Indien
Eastern Institute for Integrated Learning in Management University,,Jorethang (Sikkim),Nicht anerkannte Hochschule,H -,Indien
Eklavya University,,Damoh (Madhya Pradesh),Private University,H+,Indien
Era University,,Lucknow (Uttar Pradesh),Status ungeklärt,H +/-,Indien
Eternal University,,Baru Sahib (Himachal Pradesh),Private University,H+,Indien
